Welcome to SHARC!

         41793450 function calls (41758184 primitive calls) in 87.491 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1068    0.019    0.000    0.020    0.000 tags.py:54(__init__)
     2660    0.020    0.000    0.020    0.000 simulation.py:622(calculate_bw_weights)
        1    0.000    0.000    0.020    0.020 art3d.py:1(<module>)
        2    0.000    0.000    0.020    0.010 config.py:1(<module>)
     5591    0.019    0.000    0.019    0.000 {built-in method posix.stat}
       30    0.003    0.000    0.019    0.001 __init__.py:847(_rc_params_in_file)
     2672    0.019    0.000    0.019    0.000 sat_utils.py:48(lla2ecef)
     8900    0.011    0.000    0.019    0.000 inspect.py:2712(__init__)
    21346    0.017    0.000    0.019    0.000 _ufunc_config.py:132(geterr)
 1561/281    0.006    0.000    0.019    0.000 _compiler.py:37(_compile)
       12    0.000    0.000    0.019    0.002 _docstring.py:51(__missing__)
    11498    0.011    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
41190/41181    0.015    0.000    0.018    0.000 {method 'join' of 'str' objects}
       42    0.001    0.000    0.018    0.000 _docscrape.py:371(_parse)
       12    0.000    0.000    0.017    0.001 composer.py:99(compose_sequence_node)
      155    0.006    0.000    0.017    0.000 sharc_geom.py:82(rotate_angles_based_on_new_nadir)
      421    0.009    0.000    0.017    0.000 doccer.py:180(indentcount_lines)
        2    0.000    0.000    0.017    0.008 geo.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _shgo.py:1(<module>)
     2599    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.016    0.016 numerictypes.py:1(<module>)
     8020    0.004    0.000    0.016    0.000 fromnumeric.py:588(transpose)
        1    0.000    0.000    0.016    0.016 _discrete_distns.py:1(<module>)
        2    0.000    0.000    0.016    0.008 loader.py:1(<module>)
        3    0.000    0.000    0.016    0.005 array.py:1(<module>)
     2785    0.006    0.000    0.016    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.015    0.015 _axes.py:46(Axes)
     1387    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
    10640    0.015    0.000    0.015    0.000 ufunclike.py:142(isneginf)
       10    0.002    0.000    0.015    0.002 propagation_uma.py:247(get_los_condition)
        3    0.000    0.000    0.015    0.005 numeric.py:1(<module>)
       77    0.001    0.000    0.015    0.000 dataclasses.py:568(_init_fn)
       20    0.000    0.000    0.015    0.001 _distn_infrastructure.py:3179(__init__)
    10053    0.015    0.000    0.015    0.000 {method 'search' of 're.Pattern' objects}
      128    0.000    0.000    0.015    0.000 _distn_infrastructure.py:687(_attach_argparser_methods)
     7980    0.015    0.000    0.015    0.000 {method 'repeat' of 'numpy.generic' objects}
      128    0.001    0.000    0.015    0.000 _distn_infrastructure.py:701(_construct_argparser)
     1212    0.014    0.000    0.014    0.000 {built-in method _io.open_code}
      108    0.001    0.000    0.014    0.000 _distn_infrastructure.py:1860(_attach_methods)
      588    0.014    0.000    0.014    0.000 {built-in method builtins.dir}
       61    0.014    0.000    0.014    0.000 {method 'random_sample' of 'numpy.random.mtrand.RandomState' objects}
        1    0.000    0.000    0.014    0.014 axis.py:1(<module>)
        2    0.000    0.000    0.014    0.007 indexing.py:1(<module>)
     8000    0.009    0.000    0.014    0.000 parameters_antenna_imt.py:154(get_antenna_parameters)
